,site_id,planned_kiosk_type,installation_status,ppt_id,legacy_id,borough,council_district,community_board,street_address,cross_street_1,cross_street_2,ixn_corner,postcode,zoning,latitude,longitude,installation_complete,activation_complete,neighborhood_tabulation_area_nta,building_identification_number_bin,boroughblocklot_bbl,census_tract_ct,location
1164,qu-12-141549,Link1.0,Live,141549,qu-12-141549,Queens,27,412,159-02 JAMAICA AVENUE,PARSONS BOULEVARD,160 STREET,SE,11433,C6-3,40.703352,-73.799923,2023-03-17,2023-06-14,Jamaica,4215612.0,4101000001.0,4044601.0,"(40.703352, -73.799923)"
1165,mn-10-120024,Link1.0,Live,120024,mn-10-120024,Manhattan,9,110,100 WEST 125 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,SW,10027,C6-3,40.807818,-73.94583,2016-11-14,2017-01-09,Central Harlem South,1000000.0,1019090033.0,1022200.0,"(40.807818, -73.94583)"
1166,mn-07-107980,Link1.0,Live,107980,mn-07-107980,Manhattan,7,107,975 COLUMBUS AVENUE,WEST 107 STREET,WEST 108 STREET,SE,10025,C1-5,40.800405,-73.961891,2018-04-03,2018-05-31,Morningside Heights,1055704.0,1018430061.0,1019300.0,"(40.800405, -73.961891)"
1167,bk-16-158252,Link1.0,Live,,,Brooklyn,41,316,78 ROCKAWAY AVENUE,SUMPTER STREET,MARION STREET,NE,11233,C2-3,40.6811,-73.91147,2022-09-22,2023-06-12,Ocean Hill,3041419.0,3015220070.0,369.0,"(40.6811, -73.91147)"
1168,bk-08-127034,Link1.0,Live,127034,bk-08-127034,Brooklyn,36,308,628 NOSTRAND AVENUE,DEAN STREET,PACIFIC STREET,NW,11216,C2-4,40.676976,-73.949916,2017-02-17,2017-03-07,Crown Heights North,3030004.0,3012060045.0,3031500.0,"(40.676976, -73.949916)"
1169,mn-07-134281,Link1.0,Live,134281,mn-07-134281,Manhattan,6,107,410 COLUMBUS AVENUE,WEST 80 STREET,WEST 79 STREET,SW,10024,C1-8A,40.78254,-73.975184,2018-03-14,2018-04-20,Upper West Side,1031764.0,1012107504.0,1016500.0,"(40.78254, -73.975184)"
1170,mn-07-133518,Link1.0,Live,133518,mn-07-133518,Manhattan,3,107,10 WEST 61 STREET,BROADWAY,COLUMBUS AVENUE,SW,10023,C4-7,40.769839,-73.982502,2016-04-30,2016-09-30,Lincoln Square,1027193.0,1011130047.0,1014500.0,"(40.769839, -73.982502)"
1171,mn-03-107697,Link1.0,Live,107697,mn-03-107697,Manhattan,2,103,121 2 AVENUE,EAST 7 STREET,ST MARKS PLACE,NW,10003,C1-5,40.728158,-73.988125,2016-11-12,2016-12-12,East Village,1006682.0,1004630034.0,1003800.0,"(40.728158, -73.988125)"
1172,mn-09-146082,Link1.0,Live,146082,LINK-022396,Manhattan,7,109,1356 AMSTERDAM AVENUE,WEST 126 STREET,WEST 125 STREET,SW,10027,C2-4,40.814103,-73.955865,2018-04-14,2020-10-20,Manhattanville,1059701.0,1019820029.0,1021900.0,"(40.814103, -73.955865)"
1173,bk-14-145907,Link1.0,Live,145907,LINK-018088,Brooklyn,40,314,971 FLATBUSH AVENUE,ALBEMARLE ROAD,SNYDER AVENUE,NE,11226,C4-4A,40.647887,-73.958051,2017-08-10,2017-09-15,Erasmus,3117362.0,3051090001.0,3079400.0,"(40.647887, -73.958051)"
1174,qu-12-123702,Link5G_Ad,Live,123702,15000,Queens,27,412,197-48 JAMAICA AVENUE,Carpenter Avenue,Woodhull Avenue,,11423,C2-2,40.713333,-73.761335,2022-06-16,2022-07-29,Hollis,4231551.0,4108240011.0,4050000.0,"(40.713333, -73.761335)"
1175,bk-01-145864,Link1.0,Live,145864,LINK-020756,Brooklyn,33,301,1133 MANHATTAN AVENUE,BOX STREET,CLAY STREET,MIDBLOCK,11222,M1-2/R6A,40.736913,-73.955453,2017-07-01,2017-08-02,Greenpoint,3063701.0,3024820026.0,3056300.0,"(40.736913, -73.955453)"
1176,bx-05-119573,Link1.0,Live,119573,bx-05-119573,Bronx,14,205,2454 WALTON AVENUE,EAST FORDHAM ROAD,EAST 184 STREET,SE,10468,C4-4,40.862313,-73.900314,2016-08-27,2016-09-15,Fordham South,2014027.0,2031840039.0,2023900.0,"(40.862313, -73.900314)"
1177,mn-04-122579,Link1.0,Live,122579,mn-04-122579,Manhattan,3,104,731 8 AVENUE,WEST 45 STREET,WEST 46 STREET,SW,10036,C6-4,40.759746,-73.988114,2016-03-11,2016-04-15,Clinton,1081654.0,1010360036.0,1012100.0,"(40.759746, -73.988114)"
1178,mn-09-120363,Link1.0,Live,120363,mn-09-120363,Manhattan,7,109,3539 BROADWAY,WEST 145 STREET,WEST 144 STREET,SW,10031,C6-3X,40.826376,-73.950716,2016-10-03,2016-10-21,Hamilton Heights,1062370.0,1020910036.0,1022900.0,"(40.826376, -73.950716)"
1179,qu-12-160042,Link5G_Ad,Live,,,Queens,28,412,109-37 SUTPHIN BOULEVARD,GLASSBORO AVENUE,109TH DR,E,11433,C2-3,40.69067,-73.79727,2024-06-04,2024-12-16,South Jamaica,,4121410003.0,,"(40.69067, -73.79727)"
1180,bk-02-126628,Link1.0,Live,126628,bk-02-126628,Brooklyn,35,302,691 FULTON STREET,ASHLAND PLACE,ST FELIX STREET,NE,11217,C2-4,40.68789,-73.978202,2017-02-23,2017-03-24,Fort Greene,3331261.0,3020960069.0,3003300.0,"(40.68789, -73.978202)"
